mode,regime,volume_threshold,hft_frac,run,seed,n_ticks,shock_tick,shock_dp,speed_multiplier,softlimit,n_random,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_stress_ratio,avg_sub_iters,max_sub_iters_observed,threshold_hit_rate,executed_volume_total,book_depleted_rate,calendar_volume_per_tick_target,vstar_to_calendar_tick_ratio
calendar,calendar,,0.2,6,60062,500,200,-10,2,100,5,1.333111143040742,1.2335327724028915,0.18823529411764708,6,0.0,1.0,1,1.0,6909,0.0,12.591199999999997,
calendar,calendar,,0.2,7,70062,500,200,-10,2,100,5,2.344692948393763,1.6003256871508966,0.23131313131313136,21,0.0,1.0,1,1.0,7062,0.0,12.591199999999997,
calendar,calendar,,0.2,8,80062,500,200,-10,2,100,5,0.8817290061789504,0.9770808585456983,0.08514851485148509,12,0.0,1.0,1,1.0,6802,0.0,12.591199999999997,
calendar,calendar,,0.2,9,90062,500,200,-10,2,100,5,1.8786562100899127,2.4216444717690226,0.15036803364879073,21,0.0,1.0,1,1.0,6499,0.0,12.591199999999997,
calendar,calendar,,0.2,10,100062,500,200,-10,2,100,5,2.429092108342543,3.2568769104992623,0.10989010989010989,10,0.0,1.0,1,1.0,6936,0.0,12.591199999999997,
calendar,calendar,,0.2,11,110062,500,200,-10,2,100,5,1.4802449113314493,1.0704994936591001,0.2003676470588235,21,0.0,1.0,1,1.0,6781,0.0,12.591199999999997,
calendar,calendar,,0.2,12,120062,500,200,-10,2,100,5,1.8271701305265533,2.168804317212009,0.12784935579781967,42,0.0,1.0,1,1.0,6333,0.0,12.591199999999997,
calendar,calendar,,0.2,13,130062,500,200,-10,2,100,5,1.1307471308798622,1.2300948404522958,0.13200000000000003,11,0.0,1.0,1,1.0,6358,0.0,12.591199999999997,
calendar,calendar,,0.2,14,140062,500,200,-10,2,100,5,0.8512317708429428,0.8855901043634193,0.10365251727541955,16,0.0,1.0,1,1.0,6636,0.0,12.591199999999997,
calendar,calendar,,0.2,15,150062,500,200,-10,2,100,5,2.1660520645545227,2.490956719685769,0.15392561983471065,19,0.0,1.0,1,1.0,6620,0.0,12.591199999999997,
calendar,calendar,,0.2,16,160062,500,200,-10,2,100,5,1.0690456098269254,1.166611081953985,0.24752475247524752,3,0.0,1.0,1,1.0,7551,0.0,12.591199999999997,
calendar,calendar,,0.2,17,170062,500,200,-10,2,100,5,1.4400553250952746,1.7212118057272916,0.1771894093686355,32,0.0,1.0,1,1.0,7267,0.0,12.591199999999997,
calendar,calendar,,0.2,18,180062,500,200,-10,2,100,5,0.949671956154948,0.8130783565757951,0.13660714285714284,13,0.0,1.0,1,1.0,6927,0.0,12.591199999999997,
calendar,calendar,,0.2,19,190062,500,200,-10,2,100,5,1.6919268106778655,2.424188233714226,0.1542610571736785,4,0.0,1.0,1,1.0,6675,0.0,12.591199999999997,
calendar,calendar,,0.2,20,200062,500,200,-10,2,100,5,1.8353262825757806,1.7024781549240948,0.13194444444444442,12,0.0,1.0,1,1.0,6852,0.0,12.591199999999997,
calendar,calendar,,0.2,21,210062,500,200,-10,2,100,5,1.5984626107273883,2.7568464511071022,0.11798396334478806,171,0.0,1.0,1,1.0,8948,0.0,12.591199999999997,
calendar,calendar,,0.2,22,220062,500,200,-10,2,100,5,2.756126087389315,1.744440879886247,0.10834236186348863,4,0.0,1.0,1,1.0,6976,0.0,12.591199999999997,
calendar,calendar,,0.2,23,230062,500,200,-10,2,100,5,3.016055815054271,2.5102657781527165,0.09832841691248771,9,0.0,1.0,1,1.0,7649,0.0,12.591199999999997,
calendar,calendar,,0.2,24,240062,500,200,-10,2,100,5,0.9912121696243626,0.9962512042513325,0.12118126272912429,32,0.0,1.0,1,1.0,6767,0.0,12.591199999999997,
calendar,calendar,,0.2,25,250062,500,200,-10,2,100,5,1.6458800238618876,1.8219263060623472,0.17766990291262133,300,0.0,1.0,1,1.0,6700,0.0,12.591199999999997,
calendar,calendar,,0.2,26,260062,500,200,-10,2,100,5,1.6549963926899567,1.799196078000955,0.10589410589410585,32,0.0,1.0,1,1.0,6743,0.0,12.591199999999997,
calendar,calendar,,0.2,27,270062,500,200,-10,2,100,5,1.383596585464416,1.342582628357639,0.17488262910798127,31,0.0,1.0,1,1.0,7760,0.0,12.591199999999997,
calendar,calendar,,0.2,28,280062,500,200,-10,2,100,5,2.470518268226345,2.4393334729788836,0.30290456431535273,45,0.0,1.0,1,1.0,7541,0.0,12.591199999999997,
calendar,calendar,,0.2,29,290062,500,200,-10,2,100,5,1.4100820630811781,1.270879025427784,0.09863013698630134,25,0.0,1.0,1,1.0,6996,0.0,12.591199999999997,
calendar,calendar,,0.3,0,72,500,200,-10,2,100,5,2.082306105214425,2.0374144731257693,0.24691358024691357,47,0.0,1.0,1,1.0,7570,0.0,12.591199999999997,
calendar,calendar,,0.3,1,10072,500,200,-10,2,100,5,1.4923301596759713,1.9319377599631915,0.2687673772011121,56,0.0,1.0,1,1.0,8005,0.0,12.591199999999997,
calendar,calendar,,0.3,2,20072,500,200,-10,2,100,5,1.7469372619833625,2.770136251357224,0.3536324786324786,10,0.0,1.0,1,1.0,7823,0.0,12.591199999999997,
calendar,calendar,,0.3,3,30072,500,200,-10,2,100,5,1.8752870531259036,1.9529650830827021,0.09727626459143969,18,0.0,1.0,1,1.0,6695,0.0,12.591199999999997,
calendar,calendar,,0.3,4,40072,500,200,-10,2,100,5,5.558591198989652,4.900193558632411,0.19148936170212771,20,0.0,1.0,1,1.0,8157,0.0,12.591199999999997,
calendar,calendar,,0.3,5,50072,500,200,-10,2,100,5,3.215099676815806,2.838798982230088,0.10375494071146245,5,0.0,1.0,1,1.0,6949,0.0,12.591199999999997,
calendar,calendar,,0.3,6,60072,500,200,-10,2,100,5,2.263407825106707,2.73648855575882,0.10791366906474821,56,0.0,1.0,1,1.0,7212,0.0,12.591199999999997,
calendar,calendar,,0.3,7,70072,500,200,-10,2,100,5,3.54615044476139,2.9451379130350377,0.19291338582677162,22,0.0,1.0,1,1.0,6963,0.0,12.591199999999997,
calendar,calendar,,0.3,8,80072,500,200,-10,2,100,5,2.2141638098415184,2.51231687658179,0.26305418719211826,22,0.0,1.0,1,1.0,7987,0.0,12.591199999999997,
calendar,calendar,,0.3,9,90072,500,200,-10,2,100,5,0.8325754162672051,1.3465423165769443,0.09487666034155597,1,0.0,1.0,1,1.0,7044,0.0,12.591199999999997,
calendar,calendar,,0.3,10,100072,500,200,-10,2,100,5,1.1784531359893324,1.312889967581997,0.10050761421319802,6,0.0,1.0,1,1.0,6839,0.0,12.591199999999997,
calendar,calendar,,0.3,11,110072,500,200,-10,2,100,5,0.586822729969278,0.5700614368792726,0.09134615384615384,2,0.0,1.0,1,1.0,7171,0.0,12.591199999999997,
calendar,calendar,,0.3,12,120072,500,200,-10,2,100,5,4.17139805677903,3.359011089955301,0.17442922374429218,18,0.0,1.0,1,1.0,7650,0.0,12.591199999999997,
calendar,calendar,,0.3,13,130072,500,200,-10,2,100,5,2.0497405604732566,2.3277789247645284,0.12499999999999994,13,0.0,1.0,1,1.0,6676,0.0,12.591199999999997,
calendar,calendar,,0.3,14,140072,500,200,-10,2,100,5,3.458167748604478,4.267643429881648,0.09832841691248771,45,0.0,1.0,1,1.0,8156,0.0,12.591199999999997,
calendar,calendar,,0.3,15,150072,500,200,-10,2,100,5,1.3560131274782212,1.0262975884033905,0.1680327868852458,10,0.0,1.0,1,1.0,6566,0.0,12.591199999999997,
calendar,calendar,,0.3,16,160072,500,200,-10,2,100,5,3.7816190459144714,3.439344310087259,0.2048997772828507,9,0.0,1.0,1,1.0,7636,0.0,12.591199999999997,
calendar,calendar,,0.3,17,170072,500,200,-10,2,100,5,1.490129355269317,1.4908162523302475,0.09611451942740278,14,0.0,1.0,1,1.0,6740,0.0,12.591199999999997,
calendar,calendar,,0.3,18,180072,500,200,-10,2,100,5,1.1641430726177968,1.3329345724939707,0.0879345603271983,3,0.0,1.0,1,1.0,6824,0.0,12.591199999999997,
calendar,calendar,,0.3,19,190072,500,200,-10,2,100,5,2.2736828856100084,2.3860355534775755,0.20891089108910885,30,0.0,1.0,1,1.0,6799,0.0,12.591199999999997,
calendar,calendar,,0.3,20,200072,500,200,-10,2,100,5,2.1531422761507324,1.3829719748536184,0.3329938900203666,24,0.0,1.0,1,1.0,7557,0.0,12.591199999999997,
calendar,calendar,,0.3,21,210072,500,200,-10,2,100,5,1.817658564786712,2.1534250097014795,0.23908523908523907,27,0.0,1.0,1,1.0,7768,0.0,12.591199999999997,
calendar,calendar,,0.3,22,220072,500,200,-10,2,100,5,3.3313140090192364,2.3017432830732174,0.2385589094449854,29,0.0,1.0,1,1.0,7472,0.0,12.591199999999997,
calendar,calendar,,0.3,23,230072,500,200,-10,2,100,5,1.7759712151146445,1.7806402203190599,0.13416009019165734,17,0.0,1.0,1,1.0,7373,0.0,12.591199999999997,
calendar,calendar,,0.3,24,240072,500,200,-10,2,100,5,2.328016582938586,2.224616965112017,0.24130434782608698,20,0.0,1.0,1,1.0,7328,0.0,12.591199999999997,
calendar,calendar,,0.3,25,250072,500,200,-10,2,100,5,1.6015334279172,1.611182772225204,0.14955134596211367,30,0.0,1.0,1,1.0,7069,0.0,12.591199999999997,
calendar,calendar,,0.3,26,260072,500,200,-10,2,100,5,1.8734403404421882,1.703369867440988,0.18443002780352183,9,0.0,1.0,1,1.0,7628,0.0,12.591199999999997,
calendar,calendar,,0.3,27,270072,500,200,-10,2,100,5,1.645655101637585,1.8784666978564593,0.22200000000000003,34,0.0,1.0,1,1.0,7469,0.0,12.591199999999997,
