run,seed,hft_frac,info_lag,book_volume,speed_mult,softlimit,n_iter,shock_it,shock_dp,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,stabilization_price,stabilization_price_ratio,stabilization_gap,acf_abs_ret_1,acf_abs_ret_5,vol_persistence,high_vol_cluster_share
46,46020320,0.2,0,300,2,100,500,200,-10,1.4864073916215146,1.4342258064602431,0.3948462177888612,19,1.0,126.466,1.051255195344971,-0.0512551953449709,0.4714876473836147,0.1514723091769071,0.9783987298944766,0.0769230769230769
47,47020320,0.2,0,300,2,100,500,200,-10,2.13318308688731,1.8463605863564525,0.2379979570990808,27,1.0,118.858,1.2140755873340143,-0.2140755873340143,0.2576750453234475,0.098908543123137,0.9613579026034472,0.3210702341137124
48,48020320,0.2,0,300,2,100,500,200,-10,2.4550455781158913,2.9728890906296392,0.3196721311475409,5,1.0,90.81000000000002,0.827049180327869,0.172950819672131,0.3645509634385545,0.2375941202212753,0.9709873170877704,0.6120401337792643
49,49020320,0.2,0,300,2,100,500,200,-10,2.0933050775168627,1.3864785110785471,0.2573149741824441,9,1.0,131.62000000000003,1.1327022375215148,-0.1327022375215147,0.6822980805389681,0.5387444145161769,0.9836492172060995,0.2240802675585284
50,50020320,0.2,0,300,2,100,500,200,-10,1.6627164910955188,1.8354150789594592,0.2729103726082577,3,1.0,101.352,1.0206646525679757,-0.0206646525679756,0.4206769607710774,0.155593535518167,0.9674468168811972,0.2608695652173913
51,51020320,0.2,0,300,2,100,500,200,-10,0.7145483444708035,0.720503277187855,0.1195079086115992,7,1.0,103.848,0.912548330404218,0.0874516695957819,0.1381921999350611,0.1548856497479666,0.9473882288833722,0.0
52,52020320,0.2,0,300,2,100,500,200,-10,2.9129359565044814,1.914852984258517,0.1312931885488647,12,1.0,120.972,1.1941954590325763,-0.1941954590325765,0.3158712049810266,0.1674016325882101,0.9594469366102653,0.5785953177257525
53,53020320,0.2,0,300,2,100,500,200,-10,1.3244687007572045,1.3122216102838435,0.2796052631578947,98,1.0,85.03200000000001,0.9323684210526316,0.0676315789473683,0.0730870175480539,0.0278469337602024,0.9439711068559,0.1070234113712374
54,54020320,0.2,0,300,2,100,500,200,-10,2.5877169929377235,3.7132261822754886,0.1671794871794871,6,0.97,83.04599999999999,0.8517538461538461,0.1482461538461539,0.2178942836063532,0.3091231075317643,0.9695953037715108,0.9464882943143812
55,55020320,0.2,0,300,2,100,500,200,-10,2.5394609789431724,2.370882734187144,0.3264659270998415,244,1.0,113.698,0.9009350237717908,0.0990649762282093,0.3948611203780277,0.1928133281339727,0.9672259808360564,0.3244147157190635
56,56020320,0.2,0,300,2,100,500,200,-10,1.7570297605972542,2.445057794465795,0.387523629489603,37,1.0,102.744,0.9711153119092628,0.028884688090737,0.5242430786477694,0.3572914939761918,0.9786621524745632,0.217391304347826
