run,seed,hft_frac,info_lag,softlimit,speed_mult,n_iter,shock_it,shock_dp,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,acf_abs_ret_1,acf_abs_ret_5,vol_persistence,high_vol_cluster_share
15,1506022,0.6,0,20,2,500,200,-10,1.1296202848022854,0.9964812417272318,0.12537917087967648,31,1.0,0.16819506891060154,0.16109264091164086,0.9473130416343182,0.14715719063545152
16,1606022,0.6,0,20,2,500,200,-10,1.9452466926398946,1.9246362074004002,0.16847826086956522,16,1.0,0.22620757810910044,0.12189336897005577,0.9564461017218007,0.36454849498327757
17,1706022,0.6,0,20,2,500,200,-10,2.065763108715643,2.41064610758294,0.24859392575928016,45,1.0,0.5065480042232978,0.24653627007375806,0.9690092555828572,0.4180602006688963
18,1806022,0.6,0,20,2,500,200,-10,1.527692201411418,1.316869419837789,0.264591439688716,9,1.0,0.46582155607349934,0.09540774952532548,0.9733413938393671,0.22408026755852842
19,1906022,0.6,0,20,2,500,200,-10,0.7982271772711352,0.6718906166240252,0.0907258064516129,6,1.0,0.2933258586115619,0.1898596616848382,0.9475467646463861,0.026755852842809364
20,2006022,0.6,0,20,2,500,200,-10,1.8161989205164963,1.9159680454927623,0.11088295687885022,21,1.0,0.1800287238482779,0.10901169611460215,0.9401630202452772,0.4414715719063545
21,2106022,0.6,0,20,2,500,200,-10,2.021369044045493,1.6316812556739795,0.30802047781569974,8,1.0,0.29479286217453243,0.1679315582136129,0.975071675993922,0.3311036789297659
22,2206022,0.6,0,20,2,500,200,-10,2.4877900500143375,2.1855451521379714,0.315289648622982,11,1.0,0.2549475630831515,0.09487228654612549,0.9645694730471399,0.391304347826087
23,2306022,0.6,0,20,2,500,200,-10,4.078414459310495,3.17176061548204,0.33036509349955473,16,1.0,0.3693620378990789,0.27454703052997864,0.9632550069954604,0.5250836120401338
24,2406022,0.6,0,20,2,500,200,-10,1.5822932604493845,1.6122123961425172,0.2706374085684431,7,1.0,0.40993878875886974,0.16131372612072836,0.9688187898612859,0.2709030100334448
25,2506022,0.6,0,20,2,500,200,-10,0.701773387362869,0.8825719585667192,0.2564102564102564,5,1.0,0.44664875603391163,0.32625455519491947,0.9756992015943654,0.0903010033444816
26,2606022,0.6,0,20,2,500,200,-10,1.0942236268182504,1.1116433305897437,0.17674858223062384,111,1.0,0.2916778844942442,0.2853398080019545,0.9716078547838977,0.18729096989966554
27,2706022,0.6,0,20,2,500,200,-10,0.5945892788151528,0.43454702340575563,0.08477508650519029,13,1.0,0.4006967250983761,0.17062815808264842,0.9676559542028151,0.0
28,2806022,0.6,0,20,2,500,200,-10,1.3374543145942277,1.255882564479912,0.05666316894018879,0,1.0,0.37045783902164886,0.3419030949050729,0.973330866637325,0.20735785953177258
29,2906022,0.6,0,20,2,500,200,-10,2.399206720249718,2.241423348096326,0.1599564744287269,3,1.0,0.10669593102541992,0.08572539207274874,0.9421666104662765,0.5585284280936454
0,8022,0.8,0,20,2,500,200,-10,1.6764480904326438,3.093780814019769,0.5098722415795586,71,1.0,0.3899513403504639,0.4241718404713167,0.9768372124585007,0.3511705685618729
1,108022,0.8,0,20,2,500,200,-10,2.593021065963452,1.8262190469245925,0.3231046931407942,53,1.0,0.18282911789087575,0.12567043770045846,0.9571174545822259,0.3879598662207358
2,208022,0.8,0,20,2,500,200,-10,3.4262902755342846,3.5835166117040216,0.4102316602316602,117,1.0,0.1648993399640318,0.2577103699670179,0.945067779903336,0.45819397993311034
3,308022,0.8,0,20,2,500,200,-10,2.1169553246826434,1.744984974821259,0.3256325632563257,13,1.0,0.20335623776977677,0.015265666057906883,0.9603819925596189,0.4013377926421405
4,408022,0.8,0,20,2,500,200,-10,1.217696778617987,1.3917326898347115,0.11182795698924737,7,1.0,0.3439703184012158,0.14688289866345922,0.9522466085138871,0.3010033444816054
5,508022,0.8,0,20,2,500,200,-10,2.5672225016221115,2.1161435213956206,0.1033464566929134,5,1.0,0.11292952548352633,0.10442826030098336,0.9573221722035858,0.3411371237458194
6,608022,0.8,0,20,2,500,200,-10,2.5394046194534234,2.9126967118428864,0.3063343717549325,33,1.0,0.2693765581708559,0.14701083950240215,0.9598386191255004,0.47491638795986624
7,708022,0.8,0,20,2,500,200,-10,2.964223384935271,2.225345265128121,0.3022571148184496,31,1.0,0.12050739835081613,0.19269710869346937,0.9583329429952658,0.5217391304347826
