hft_frac,info_lag,book_volume,metric,n_boot,n_base,n_delay,n_thin_book,n_combined,interaction_point,interaction_boot_mean,ci_low,ci_high,p_two_sided,ci_excludes_zero,positive_point
0.4,5,1000,vol_ratio,1000,30,30,30,30,0.26097305634925716,0.25915719862406994,-0.9865743703042116,1.557121325657444,0.7,False,True
0.6,1,300,acf_abs_ret_1,1000,30,30,30,30,0.0127744663711305,0.015001743903333592,-0.07225715963579772,0.10411887124040316,0.752,False,True
0.6,1,300,acf_abs_ret_5,1000,30,30,30,30,-0.029743183384588617,-0.03172550875370927,-0.1051573388314283,0.03532678522064982,0.376,False,False
0.6,1,300,vol_persistence,1000,30,30,30,30,0.03647692003288494,0.03654209396420914,-0.0019505581834277416,0.10296392687637003,0.132,False,True
0.6,1,300,high_vol_cluster_share,1000,30,30,30,30,0.002898550724637794,0.0006851727982163485,-0.17581382385730213,0.1992084726867334,0.994,False,True
0.6,1,300,vol_ratio,1000,30,30,30,30,-0.1209005846608684,-0.14501651453048003,-1.3468350310992223,1.0554602211290218,0.816,False,False
0.6,1,600,acf_abs_ret_1,1000,30,30,30,30,0.025531974701964277,0.025379957225769086,-0.038348629041531995,0.0932492027112447,0.48,False,True
0.6,1,600,acf_abs_ret_5,1000,30,30,30,30,-0.03456055284094284,-0.03501051432569889,-0.09860671808349984,0.028935884066833596,0.294,False,False
0.6,1,600,vol_persistence,1000,30,30,30,30,0.0034176507946516166,0.0034710099252174657,-0.005442228226556917,0.012582872052925478,0.448,False,True
0.6,1,600,high_vol_cluster_share,1000,30,30,30,30,0.07212931995540683,0.06609955406911931,-0.09801839464882946,0.23150780379041247,0.428,False,True
0.6,1,600,vol_ratio,1000,30,30,30,30,0.4933671694174424,0.5138950716779491,-0.6163565535505788,1.640406519420624,0.392,False,True
0.6,1,1000,acf_abs_ret_1,1000,30,30,30,30,-0.033502709810052156,-0.03370979160983333,-0.1061255684231106,0.03255443686374227,0.308,False,False
0.6,1,1000,acf_abs_ret_5,1000,30,30,30,30,-0.04038431482762389,-0.04008183020620932,-0.10662391415231039,0.024479592023728926,0.23,False,False
0.6,1,1000,vol_persistence,1000,30,30,30,30,-0.000706226830140877,-0.0006299722841918451,-0.008271455614375875,0.007328321424105033,0.87,False,False
0.6,1,1000,high_vol_cluster_share,1000,30,30,30,30,0.10702341137123744,0.1066057971014493,-0.06535674470457084,0.272123745819398,0.246,False,True
