hft_frac,lag,run,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio
0.6,0,18,1.4537485760784854,1.6122677436619137,0.12499999999999994,15,1.0
0.6,0,19,6.458715306221489,6.253590094040463,0.20109190172884447,10,1.0
0.6,0,20,2.4010443922155047,5.541072964952772,0.1438127090301004,13,0.2866666666666667
0.6,0,21,3.3646786890573606,2.794631399101943,0.17846153846153853,15,1.0
0.6,0,22,1.7447349820357665,3.173824294671091,0.11818181818181825,19,0.9
0.6,0,23,3.3917469431171963,2.3607989822259765,0.20018621973929235,29,1.0
0.6,0,24,2.136154876654251,2.5726838261080887,0.11229428848015484,18,1.0
0.6,0,25,2.1109639968587532,3.3847719948379043,0.11830131445904957,19,0.91
0.6,0,26,3.1881929910240343,3.6961724922613097,0.2151767151767152,41,1.0
0.6,0,27,0.7631719849909426,0.6676683929766897,0.10355329949238581,17,1.0
0.6,0,28,1.3385536555531476,1.3003216990160988,0.1695736434108527,12,1.0
0.6,0,29,1.5657939582388931,1.3468696218243246,0.11623246492985967,3,1.0
0.7,0,0,4.921319921725987,5.760768202148477,0.2110874200426439,15,1.0
0.7,0,1,1.5519169285267456,0.9752366152433481,0.15611448395490027,26,1.0
0.7,0,2,2.072403211540697,2.2208509360246187,0.14525691699604745,7,1.0
0.7,0,3,2.7678651440358437,3.0636393862804097,0.2359882005899705,17,1.0
0.7,0,4,1.5737684057270547,1.5769574398819735,0.1629327902240326,11,1.0
0.7,0,5,1.9006349493997183,2.054107468579656,0.12133891213389116,11,1.0
0.7,0,6,4.04249688641633,3.066604674097075,0.18071161048689136,8,1.0
0.7,0,7,1.488782733186128,2.0921974972094035,0.1611909650924025,37,1.0
0.7,0,8,1.0834092878524213,0.8887071052257765,0.10149253731343287,23,0.20333333333333334
0.7,0,9,2.1373365191254763,2.220986274102194,0.15207373271889402,19,1.0
0.7,0,10,2.9374242526659153,3.2495730437711656,0.18607068607068614,5,1.0
0.7,0,11,0.9196000364403963,1.2237434281956594,0.2966636609558161,48,1.0
0.7,0,12,2.0364146309429856,2.792040244499721,0.11804008908685963,6,1.0
0.7,0,13,2.036758626206692,1.8838147700639358,0.16698113207547172,26,1.0
0.7,0,14,0.6855646614497681,0.5835153511087999,0.0902912621359223,8,1.0
0.7,0,15,5.651015474408077,4.53497995203057,0.23507109004739335,22,1.0
0.7,0,16,1.870339368620121,1.9689873828407527,0.09969788519637454,97,0.97
0.7,0,17,1.7655181401789701,1.4297086562995915,0.15863689776733256,5,1.0
0.7,0,18,3.9680416807903858,3.8284121171889636,0.24973319103521885,26,1.0
0.7,0,19,5.273912853253777,8.397329357188498,0.2320942883046237,81,0.8
0.7,0,20,4.733941999425835,5.652966323251832,0.22462406015037598,51,1.0
0.7,0,21,4.147141633306017,2.9643404536702733,0.24649298597194383,21,1.0
0.7,0,22,2.067146989527631,2.166752522096278,0.18511263467189024,33,1.0
0.7,0,23,2.081642683509524,3.1606412836641087,0.1610337972166997,300,1.0
0.7,0,24,3.6245482816781602,3.625619690419566,0.18360277136258651,45,1.0
0.7,0,25,2.309719257269068,2.535002793778053,0.09944237918215604,29,0.21
0.7,0,26,1.7765782661581404,2.1970466460969575,0.12674543501611168,178,0.67
0.7,0,27,3.1930611912203366,3.6356296287829273,0.17925478348439072,29,1.0
0.7,0,28,3.4927924625598457,3.2712599735519654,0.09501411100658509,23,0.8766666666666667
0.7,0,29,1.4528755802890236,1.3392402653018833,0.12486064659977707,7,1.0
0.8,0,0,1.369102082873503,1.4878375597309679,0.09856459330143538,17,1.0
0.8,0,1,2.036989604210832,1.7779151210065336,0.23304347826086955,22,0.8533333333333334
0.8,0,2,2.0902755621674927,1.9338676243145736,0.0867579908675799,12,0.9933333333333333
0.8,0,3,0.6669257827092167,0.6783877848169083,0.14179104477611942,14,1.0
0.8,0,4,2.1817954942189135,2.171036600593475,0.20150659133709986,17,1.0
0.8,0,5,1.3305750682130957,2.0448030104020187,0.09266802443991862,6,1.0
0.8,0,6,1.917307193163084,1.259176522533738,0.10511627906976742,13,1.0
0.8,0,7,0.6914210014273555,0.807388021070125,0.09962756052141529,17,1.0
0.8,0,8,2.4726731340052854,2.329443828840094,0.11416026344676171,2,1.0
0.8,0,9,3.162546756589479,2.7756944263452206,0.18488253319714001,17,1.0
0.8,0,10,1.9629487894592887,1.8871473768300213,0.13110047846889955,13,1.0
0.8,0,11,2.2483002509840464,1.6865203239546707,0.09176029962546814,16,0.0
0.8,0,12,1.4040039329492635,1.2813652631979422,0.1023784901758015,5,1.0
0.8,0,13,1.1863703233622325,1.541401212404027,0.2507676560900716,36,1.0
0.8,0,14,1.4697408250068045,1.2963499470391835,0.09439252336448593,32,1.0
0.8,0,15,1.2388663103713062,1.17852288885414,0.0841487279843445,12,1.0
0.8,0,16,3.4052006325444193,4.348167648077144,0.16324324324324319,30,0.65
0.8,0,17,1.1830248056005728,1.1925431244604476,0.10330578512396695,6,1.0
0.8,0,18,2.797494223207341,3.674249492030984,0.10548523206751055,20,0.9033333333333333
