hft_frac,run,diff_vol_ratio,diff_spread_ratio,diff_max_drawdown,diff_recovery_time,diff_mm_panic_ratio,diff_total_executed_volume,diff_post_volume,diff_volume_per_tick,diff_realized_vol_per_volume,diff_n_ticks
0.2,36,2.9427068052100416,2.1320517251416637,0.09730156061652043,9.0,0.0,10.0,-25.0,0.6802976939203358,0.0005465003846775226,-23.0
0.2,37,-0.38410762712893387,0.729596952121168,-0.008791198887920015,15.0,0.0,30.0,-14.0,-0.5102928709055892,1.4520295362502322e-05,19.0
0.2,38,1.1764880877227255,0.7515204602717764,0.019477940133352273,-116.0,0.0,13.0,3.0,0.6299582463465558,0.00033843391395416025,-21.0
0.2,39,1.1388285125941506,1.126766574165489,0.043276888579602546,6.0,0.0,0.0,-22.0,0.6389205020920503,0.00023942574439545162,-22.0
0.2,40,0.36000067937867974,0.6557853644884416,0.04477739726027408,4.0,0.0,5.0,-10.0,1.5312815964523274,0.00021117784799540388,-49.0
0.2,41,0.22321885541578346,0.22131126203523177,-0.01347908788297364,6.0,0.0,2.0,-29.0,-0.18089940828402362,2.2460931903008833e-05,7.0
0.2,42,-0.9779495606462973,-1.1354571718057285,0.03291046148188989,4.0,0.0,12.0,-26.0,-0.9914471243042673,-5.764883508562564e-05,39.0
0.2,43,0.9918547937180264,1.420238240219946,0.06666941579011926,-1.0,0.0,9.0,-11.0,1.0366881720430108,0.0002113236996723478,-35.0
0.2,44,-0.5850958654560761,-1.2827579813216075,-0.02797880341355613,-9.0,0.0,2.0,-14.0,-1.0833085501858744,-0.00021538330657996853,38.0
0.2,45,0.4377339189720453,0.7583605169518677,0.1291958355289351,20.0,0.0,15.0,-13.0,1.0130749464668103,0.00018276277237658462,-33.0
0.2,46,-0.45046498974971616,-1.2076665945993899,0.007521947247552424,7.0,0.0,16.0,-27.0,0.18672727272727307,-9.131983602539472e-05,-5.0
0.2,47,0.12128038094595817,-0.1843299979135855,-0.016605495036697837,-2.0,0.0,7.0,-39.0,0.013999999999999346,6.415238314929326e-05,0.0
0.2,48,-1.131959824116708,-1.1925245125224189,-0.06960784313725485,-1.0,0.0,3.0,-25.0,-0.10093650793650788,-0.00016800309654259698,4.0
0.2,49,0.34734777130273997,0.27159939263523825,0.0062953138815209225,-9.0,0.0,18.0,-18.0,0.6149166666666659,0.00011836504402619355,-20.0
