hft_frac,run,interaction_recovery_time,interaction_max_drawdown,interaction_stabilization_gap
0.4,35,145.0,0.21141124313085657,-0.185918593384021
0.4,36,30.0,0.043852603153871406,-0.1502701079208183
0.4,37,-16.0,0.15147407880163902,-0.05847031513505771
0.4,38,-289.0,-0.3121877761381723,0.006848029866495617
0.4,39,-23.0,-0.45104423429797874,-0.00261891176533649
0.4,40,23.0,-0.12079921762307347,-0.18091568930140792
0.4,41,180.0,-0.14961620941574633,0.07360238578838513
0.4,42,34.0,-0.4672357178730683,0.2438689330001888
0.4,43,-150.0,-0.36302999740976516,-0.8172366740774025
0.4,44,149.0,-0.1338651195845284,-0.2869525676942664
0.4,45,2.0,0.3768388898235634,0.261736211301926
0.4,46,105.0,-0.32775447047077244,0.1833753796867057
0.4,47,-7.0,0.07826394998671198,-0.0956672950687083
0.4,48,7.0,0.06339022162685201,-0.1535135607822283
0.4,49,-45.0,0.3541081551771729,0.1656613484039316
0.4,50,-279.0,0.03576904712369272,-0.0918491472493106
0.4,51,-24.0,0.199717627190022,0.2867958025884769
0.4,52,-93.0,-0.0373971346848042,0.5726791398585499
0.4,53,33.0,0.1741655030581547,0.2812673997686552
0.4,54,-30.0,-0.34244284538094627,-0.7589529660633767
0.4,55,11.0,0.40037962581501707,0.0019039212857294068
0.4,56,5.0,-0.3898198301306114,-0.410199573957546
0.4,57,4.0,-0.1196914851504668,0.0567294045248082
0.4,58,-16.0,0.3359313073171997,0.47970255866373374
0.4,59,29.0,-0.5820217392779543,0.5134322734043806
0.4,60,-9.0,-0.6897547605731373,0.07325966632998
0.4,61,-46.0,0.024489045420240788,-0.0717917901573378
0.4,62,311.0,-0.12876517669782395,-0.1898926874172855
0.4,63,40.0,0.30704683407269795,-0.041787363584469814
0.4,64,-8.0,0.4557275321478472,-0.37229456789348714
0.4,65,93.0,0.07069781321203089,0.09244942369808709
0.4,66,-53.0,-0.010092959341231195,0.25687558423991796
0.4,67,-10.0,-0.00325055177233588,-0.41874348357775815
0.4,68,29.0,0.29022623749094795,-0.092116898727611
0.4,69,66.0,-0.1854081882824499,-0.013678921524106394
0.4,70,-31.0,-0.02273616789608049,-0.39716599849940804
0.4,71,15.0,0.2982839052651173,-0.05552713436848712
0.4,72,-50.0,-0.2802572982780745,0.1432880534944404
0.4,73,-118.0,-0.08402650800824166,-0.041345982705633194
0.4,74,-192.0,-0.38512252337017394,-0.26967527542802006
0.4,75,16.0,0.5098675742966639,0.7385372605547532
0.4,76,33.0,-0.09492578559541806,-0.1279249656307016
0.4,77,116.0,-0.008204686421936974,-0.013078882049393403
0.4,78,31.0,0.1019031413193353,0.3728112877344912
0.4,79,406.0,0.05347016949337419,-0.3267660413290385
0.4,80,-46.0,-0.43426267536483154,-0.2983647522497608
0.4,81,31.0,0.19504233724868658,0.35397617196983827
0.4,82,40.0,0.0847041797091294,0.27289502979777436
0.4,83,2.0,0.3335183896849624,0.032978854793721805
0.4,84,45.0,0.011272048905228232,0.1906543574188228
0.4,85,-223.0,-0.41077998435438134,-1.0710025026344674
0.4,86,19.0,0.47335753245415985,-0.018391556257568997
0.4,87,-22.0,-0.2970234627528588,-0.23435309509372
0.4,88,-11.0,0.2818513726330104,0.1012994097513239
0.4,89,16.0,0.04677968633116136,0.2723590994477771
0.4,90,5.0,0.2132971533252912,0.1891467960948521
