fast_share,softlimit,run,vol_ratio,spread_ratio,max_drawdown,mm_panic_ratio
0.5,5,12,1.0920937550908518,1.3501248944058777,0.09385474860335202,1.0
0.5,5,13,1.0667730725448954,1.172668727732731,0.17231638418079093,1.0
0.5,5,14,1.0256624600592692,1.124685917708167,0.09547244094488179,1.0
0.5,5,15,0.9547245067019534,1.3784372570407961,0.08676789587852494,1.0
0.5,5,16,1.0824937574770226,1.0925389835037527,0.10805500982318271,1.0
0.5,5,17,1.0773898154026893,1.1653716858333176,0.10621242484969934,1.0
0.5,5,18,0.9581013453803705,1.2575209065527813,0.09692132269099202,1.0
0.5,5,19,0.9310495732459783,1.1823121602100455,0.10967741935483874,1.0
0.6,5,0,1.2628131338368143,1.224648489879366,0.12617702448210927,1.0
0.6,5,1,1.1273317515363388,1.1908192828287185,0.11134453781512614,1.0
0.6,5,2,1.1507081061768,1.4547611970888614,0.12017167381974252,1.0
0.6,5,3,1.039321217969183,1.2236657744891313,0.11377870563674312,1.0
0.6,5,4,0.9040488076730356,0.8062529912086723,0.10283315844700942,1.0
0.6,5,5,0.9036956678313068,0.9310835320527564,0.0951940850277264,1.0
0.6,5,6,1.362803348609889,1.1047510848269895,0.0927291886195997,1.0
0.6,5,7,1.343998807134489,0.9199959556625014,0.11434977578475339,1.0
0.6,5,8,0.9791143097511075,1.1318862881206628,0.1065891472868217,1.0
0.6,5,9,0.9269221074009366,1.0529566218472577,0.1118493909191583,1.0
0.6,5,10,0.9703381186857826,1.2258028918230568,0.12826899128268987,1.0
0.6,5,11,1.170786163709755,1.2048638401798581,0.0860113421550094,1.0
0.6,5,12,1.0877133283632032,1.2162674521361276,0.11178247734138967,1.0
0.6,5,13,0.9422043280839101,0.9144525679500604,0.12260127931769724,1.0
0.6,5,14,1.0894233350523341,1.0686797381554136,0.14203454894433779,1.0
0.6,5,15,0.947945128583162,0.981239013356518,0.11868131868131865,1.0
0.6,5,16,1.0617423557635928,1.2549714343274503,0.1613545816733068,1.0
0.6,5,17,0.8071612212905056,0.8142308756900677,0.07637017070979335,1.0
0.6,5,18,1.1802110678832045,1.3884521959272575,0.11843575418994406,1.0
0.6,5,19,1.2443432626550144,1.2727998000759653,0.12024048096192386,1.0
0.7,5,0,0.949747447762084,1.1228820242085693,0.13833157338965163,1.0
