mode,run,seed,hft_frac,n_ticks,shock_tick,shock_dp,speed_multiplier,vstar_postshock,calendar_post_volume,total_executed_volume,total_executed_trades,post_rv,pre_rv,post_rv_per_volume,post_rv_per_trade,post_vol_per_sqrt_volume,equal_volume_vol_ratio,post_window_volume,pre_window_volume,post_window_trades,pre_window_trades,post_window_ticks,pre_window_ticks,target_post_volume,post_volume_error,calendar_style_vol_ratio,spread_ratio,mm_stress_ratio,avg_sub_iters,threshold_hit_rate,book_depleted_rate
calendar,33,3300231,0.0,500,200,-10,2,,3620.0,6123.0,2100.0,0.05732083467034267,0.013525817726672005,1.5895960807083383e-05,4.7727589234257014e-05,0.00023085974559641984,2.9416027438281676,3606.0,2503.0,1201.0,895.0,299,200,3620.0,-14.0,2.4921908087147067,2.0419941898502323,0.0,1.0,1.0,0.0
event_time,33,3300231,0.0,500,200,-10,2,12.0,3620.0,9771.0,3427.0,0.24420965713377418,0.01763306467543925,6.734960207770937e-05,0.00021440707386635136,0.0006194529860777506,13.883902633527256,3626.0,3635.0,1139.0,1418.0,176,194,3620.0,6.0,3.5306368702271316,4.296778925857768,0.0,1.514,1.0,0.0
calendar,34,3400231,0.0,500,200,-10,2,,3749.0,6451.0,2102.0,0.11664278019769089,0.04760647843606752,3.122130090944617e-05,9.969468392965034e-05,0.0003234945389782264,1.7720266871366572,3736.0,2702.0,1170.0,925.0,299,199,3749.0,-13.0,1.6422288694129616,2.1203267264120593,0.0,1.0,1.0,0.0
event_time,34,3400231,0.0,500,200,-10,2,12.0,3749.0,9577.0,3218.0,0.03776519866531765,0.1582309420236888,1.0022611110753091e-05,2.6651516348142306e-05,0.00021894703710638862,0.23822799137430128,3768.0,3761.0,1417.0,1182.0,210,184,3749.0,19.0,0.6094944230451937,0.7521131811111555,0.0,1.682,1.0,0.0
calendar,35,3500231,0.0,500,200,-10,2,,3515.0,6549.0,2067.0,0.04518257804764171,0.2123923974621202,1.2894571360628342e-05,3.8420559564321184e-05,0.00020782613126551803,0.18419740733078177,3504.0,3034.0,1176.0,886.0,299,200,3515.0,-11.0,0.5660693466785196,0.5692782325171994,0.0,1.0,1.0,0.0
event_time,35,3500231,0.0,500,200,-10,2,12.0,3515.0,9712.0,3280.0,0.11239134157710487,0.05646342954606551,3.190216905396108e-05,9.858889612026743e-05,0.00042192809982681204,1.9922105682220401,3523.0,3526.0,1140.0,1190.0,180,182,3515.0,8.0,1.223850564971081,1.5762513152366704,0.0,1.66,1.0,0.0
calendar,36,3600231,0.0,500,200,-10,2,,3626.0,6477.0,2211.0,0.05075145362137766,0.026649612744466113,1.4015866783037188e-05,4.211738889740885e-05,0.00021681420063588515,1.4994301158038943,3621.0,2851.0,1205.0,1002.0,299,200,3626.0,-5.0,1.950266829206929,2.375214184727793,0.0,1.0,1.0,0.0
event_time,36,3600231,0.0,500,200,-10,2,12.0,3626.0,9368.0,3192.0,0.09541939634092951,0.025340633516356764,2.6242958289584574e-05,8.162480439771558e-05,0.0003773413104611422,3.7675407163586017,3636.0,3638.0,1169.0,1331.0,185,200,3626.0,10.0,2.5637232193035233,2.437726368956146,0.0,1.596,1.0,0.0
calendar,37,3700231,0.0,500,200,-10,2,,3760.0,6751.0,2154.0,0.5199644525845618,0.06594076361671306,0.00013880524628525408,0.0004210238482466088,0.0006820577973256075,6.296051941723,3746.0,2991.0,1235.0,915.0,299,200,3760.0,-14.0,2.0883105912189746,1.8771257042085179,0.0,1.0,1.0,0.0
event_time,37,3700231,0.0,500,200,-10,2,13.0,3760.0,10181.0,3421.0,0.09386749290660412,0.015275072246569533,2.494485594116506e-05,7.874789673372829e-05,0.00036609896918479116,6.169636445287506,3763.0,3778.0,1192.0,1351.0,187,183,3760.0,3.0,4.014465633583518,4.309647853901439,0.0,1.668,1.0,0.0
calendar,38,3800231,0.0,500,200,-10,2,,3752.0,6814.0,2082.0,0.10363016097483577,0.12347567674227404,2.76937896779358e-05,8.925939791114192e-05,0.00030482343054784983,0.6867618313845815,3742.0,3062.0,1161.0,918.0,299,200,3752.0,-10.0,0.9165352034463817,1.3374530263118436,0.0,1.0,1.0,0.0
