fast_share,lag,run,vol_ratio,spread_ratio,max_drawdown,mm_panic_ratio
0.2,2,16,1.3883540672367345,1.5277294977711264,0.10478128179043741,0.9966666666666667
0.2,2,17,1.2952280409536716,1.4764870798947463,0.13832853025936592,0.9966666666666667
0.2,2,18,1.6800588440972308,1.6133618994716985,0.10618556701030925,0.8733333333333333
0.2,2,19,1.6787298169455533,2.2020739770827684,0.147605083088954,0.97
0.3,2,0,1.2288689190692104,1.161314150108282,0.10717896865520736,1.0
0.3,2,1,1.4760793098013425,1.386936092782529,0.10195674562306892,1.0
0.3,2,2,2.03198988197019,2.2051784542754356,0.13677811550151975,0.9766666666666667
0.3,2,3,1.4144883830162875,1.1607328253666884,0.10259067357512959,1.0
0.3,2,4,1.62515798853573,1.7129662225165365,0.09823182711198429,0.75
0.3,2,5,1.5537277973807386,1.5119099535751221,0.1413760603204524,1.0
0.3,2,6,1.3534805900586622,1.6787198616663832,0.0809426229508196,1.0
0.3,2,7,1.2254407834534502,1.6144981938211171,0.10851063829787237,1.0
0.3,2,8,1.2238155113184646,1.544849227178382,0.11041666666666661,1.0
0.3,2,9,1.3523610297197335,1.344648455067,0.102880658436214,0.9733333333333334
0.3,2,10,1.3289562392923873,1.5660355950731049,0.09501411100658509,0.98
0.3,2,11,1.2983960688354137,1.136896810731868,0.11918604651162788,1.0
0.3,2,12,1.9723724076805953,1.893299990355147,0.09033989266547401,0.9733333333333334
0.3,2,13,1.1133330001817148,0.975469465316205,0.13947368421052636,1.0
0.3,2,14,1.1158756298948354,1.320278735643421,0.12461695607763025,1.0
0.3,2,15,2.0423886471180914,2.59629486649159,0.10366492146596865,0.95
0.3,2,16,1.0543643071956217,1.3222733944824574,0.12671594508975711,1.0
0.3,2,17,1.5603943960604552,1.4176057165468472,0.10442144873000936,1.0
0.3,2,18,1.1543984108990029,1.4644944074152888,0.14118792599805258,1.0
0.3,2,19,1.1259201598239088,1.3673280277714797,0.19003115264797504,1.0
0.4,2,0,0.8872204706791715,1.2350823417685486,0.11235955056179775,1.0
0.4,2,1,1.494867104569557,1.9168293066675273,0.1550539744847891,1.0
0.4,2,2,0.8199994091149572,0.9527967715511658,0.106776180698152,1.0
0.4,2,3,1.2785457799135123,1.139873848750621,0.10153846153846159,1.0
0.4,2,4,1.2346634204272648,1.3182265373906874,0.0997038499506416,1.0
0.4,2,5,1.1956082744021281,1.4291013968886246,0.10921843687374741,1.0
0.4,2,6,0.9537560971252497,1.1720884080046146,0.16281512605042017,1.0
0.4,2,7,1.7557704643920962,1.8568193693911113,0.1101604278074866,0.9333333333333333
0.4,2,8,1.5511135417165418,1.10236527107606,0.11222444889779562,1.0
0.4,2,9,1.356152707203406,1.592821573277154,0.10089020771513342,1.0
0.4,2,10,1.3746952074788736,1.7404678698946119,0.1230936819172113,0.9933333333333333
0.4,2,11,1.1864066415047327,1.3107408585457385,0.10425101214574896,1.0
0.4,2,12,1.8870303501514638,2.3106876606366207,0.10264550264550268,1.0
0.4,2,13,1.6947423293354924,1.6888666149978369,0.08829174664107488,0.9966666666666667
0.4,2,14,0.9728513905379129,1.3054810411515247,0.12891566265060245,1.0
0.4,2,15,1.6274688982649825,1.519288510237429,0.10951008645533133,1.0
0.4,2,16,1.613479802750883,1.7175190550961927,0.10120240480961919,0.9933333333333333
