hft_frac,info_lag,softlimit,metric,n_boot,n_base,n_delay,n_liquidity,n_combined,interaction_point,interaction_boot_mean,ci_low,ci_high,p_two_sided,ci_excludes_zero,positive_point
0.6,3,20,vol_ratio,1000,30,30,30,30,-0.2076212514478617,-0.19841992237096903,-1.169929783567356,0.7805106616244348,0.676,False,False
0.6,3,50,acf_abs_ret_1,1000,30,30,30,30,0.046004469837006956,0.04620280846843476,-0.016005151609730435,0.10818459440647736,0.17,False,True
0.6,3,50,acf_abs_ret_5,1000,30,30,30,30,0.050928470343884244,0.05104779922862545,-0.012162332646791825,0.11444208453519146,0.124,False,True
0.6,3,50,vol_persistence,1000,30,30,30,30,0.007554655694874901,0.00760323868836425,-0.0009349980313050038,0.016649389094438766,0.076,False,True
0.6,3,50,high_vol_cluster_share,1000,30,30,30,30,-0.07959866220735795,-0.08188260869565211,-0.2584225195094761,0.11015050167224086,0.356,False,False
0.6,3,50,vol_ratio,1000,30,30,30,30,-0.45141240609677036,-0.41362962260060526,-1.6185313249158826,0.6844093275609705,0.428,False,False
0.6,5,20,acf_abs_ret_1,1000,30,30,30,30,-0.023850048048881745,-0.022793074471775494,-0.09153376260514548,0.05346968477993012,0.552,False,False
0.6,5,20,acf_abs_ret_5,1000,30,30,30,30,-0.04294490411605295,-0.04205631589589416,-0.10265644215918354,0.014396457706653642,0.156,False,False
0.6,5,20,vol_persistence,1000,30,30,30,30,-0.004642998360879891,-0.00458425100049519,-0.013094243469879294,0.0037887134720882946,0.31,False,False
0.6,5,20,high_vol_cluster_share,1000,30,30,30,30,-0.023857302118171442,-0.020222073578595325,-0.16573021181716843,0.1259838350055742,0.804,False,False
0.6,5,20,vol_ratio,1000,30,30,30,30,-0.3618297699702233,-0.36616210537107896,-1.2134643800897766,0.5071266177072752,0.406,False,False
0.6,5,50,acf_abs_ret_1,1000,30,30,30,30,0.02153350859661135,0.020087726316525823,-0.04009886007564563,0.07630263089843069,0.532,False,True
0.6,5,50,acf_abs_ret_5,1000,30,30,30,30,0.042557937402752224,0.04171598343604443,-0.023911524751194714,0.10678359442856616,0.212,False,True
0.6,5,50,vol_persistence,1000,30,30,30,30,0.00179620365571731,0.0014908596324651956,-0.007081697873829407,0.009754422325032106,0.744,False,True
0.6,5,50,high_vol_cluster_share,1000,30,30,30,30,-0.017279821627647463,-0.018166889632106963,-0.19922519509476042,0.1603344481605352,0.864,False,False
0.6,5,50,vol_ratio,1000,30,30,30,30,-0.09545584256335182,-0.10882420976027024,-1.0921956230661063,0.8883206243464267,0.826,False,False
0.6,10,20,acf_abs_ret_1,1000,30,30,30,30,-0.025135502095708917,-0.023781549432416872,-0.10718951999949597,0.04566837529164008,0.536,False,False
0.6,10,20,acf_abs_ret_5,1000,30,30,30,30,-0.00032592905783312975,0.0010906551566979,-0.06834090300449003,0.07073864462356114,0.978,False,False
0.6,10,20,vol_persistence,1000,30,30,30,30,0.0039097184494854,0.0038404574061150615,-0.003847065562307278,0.011850517825916488,0.348,False,True
0.6,10,20,high_vol_cluster_share,1000,30,30,30,30,0.02207357859531761,0.023850167224080274,-0.12945930880713488,0.1764910813823857,0.774,False,True
0.6,10,20,vol_ratio,1000,30,30,30,30,-0.04045620281189466,-0.01706847724930107,-0.9239439487007698,0.8537668298075978,0.98,False,False
