run,seed,hft_frac,info_lag,book_volume,speed_mult,softlimit,n_iter,shock_it,shock_dp,vol_ratio,spread_ratio,max_drawdown,recovery_time,mm_panic_ratio,acf_abs_ret_1,acf_abs_ret_5,vol_persistence,high_vol_cluster_share
98,98041320,0.4,1,300,2,100,500,200,-10,7.914187584493582,7.673054014200942,0.43670264965652605,20,1.0,0.44622393768544955,0.10928458341119326,0.974117370870562,0.8294314381270903
99,99041320,0.4,1,300,2,100,500,200,-10,2.909742408703702,2.032310502231109,0.40650406504065034,7,1.0,0.4145526086615704,0.062227913952395374,0.9493959253080331,0.38461538461538464
100,100041320,0.4,1,300,2,100,500,200,-10,1.0108142500042543,1.2943777860874046,0.42630597014925375,34,1.0,0.3095937969491252,0.07025498587900506,0.9436180404166568,0.09364548494983277
101,101041320,0.4,1,300,2,100,500,200,-10,1.023056599155459,1.198412321070108,0.11224489795918367,5,1.0,0.15017605408784576,0.09091777853129226,0.9687521003542422,0.023411371237458192
102,102041320,0.4,1,300,2,100,500,200,-10,0.9964891321371198,0.6157036683079621,0.10454545454545454,9,1.0,0.416223913377544,0.13001352148344675,0.9718299115264666,0.0
103,103041320,0.4,1,300,2,100,500,200,-10,1.6929165075666752,1.0081875527997801,0.37096774193548393,13,1.0,0.578932497188696,0.12052336898020052,0.9638429743366657,0.08361204013377926
104,104041320,0.4,1,300,2,100,500,200,-10,1.1756892983408724,1.5677716582482004,0.09972801450589303,19,1.0,0.4667615578995877,0.35557104985026206,0.9764694882542874,0.23745819397993312
105,105041320,0.4,1,300,2,100,500,200,-10,2.7739739636525274,4.825929967121675,0.1475409836065573,14,0.9633333333333334,0.36542872919036556,-0.00015611600955221504,0.9510049310892866,0.8093645484949833
106,106041320,0.4,1,300,2,100,500,200,-10,7.326951964198771,10.238026327286523,0.6596356663470757,6,1.0,0.17772803696684436,0.15023025466422602,0.9670568030721763,0.6822742474916388
107,107041320,0.4,1,300,2,100,500,200,-10,2.329138025159291,2.33549813245828,0.3236822568671121,1,1.0,0.29235688863543374,0.026865323271731256,0.9595982754371373,0.48494983277591974
108,108041320,0.4,1,300,2,100,500,200,-10,2.0364655425003395,3.3456805388490123,0.6081218274111675,38,1.0,0.4451785785595718,0.32018028136821686,0.9642105805968749,0.38127090301003347
109,109041320,0.4,1,300,2,100,500,200,-10,1.0748425162988764,1.1052394460790256,0.34632516703786187,300,1.0,0.3413733914410795,0.0973129355359595,0.9555561098059447,0.03678929765886288
110,110041320,0.4,1,300,2,100,500,200,-10,0.5020080151790995,0.5081562767022295,0.12197580645161299,17,1.0,0.3198467531654531,0.07638734425225382,0.9617039767880111,0.0
