grid,speed_mult,shock_dp,hft_frac,vol_ratio_mean,vol_ratio_std,spread_ratio_mean,spread_ratio_std,drawdown_mean,drawdown_std,recovery_mean,recovery_std,mm_panic_mean,mm_panic_std,n_runs
shock_magnitude,2,-0.5,0.1,1.7460608502778128,0.7445162119134985,2.0299918015701426,1.4911938576541055,0.0953962600405637,0.04555557299710097,0.6666666666666666,1.9178532059415365,0.9096666666666666,0.1873823513404337,30
shock_magnitude,2,-0.5,0.2,1.9615401033413697,0.907301398611852,2.0096289828208422,1.0132970296296768,0.11729987963367725,0.07429668461642552,10.933333333333334,54.80116619280975,0.948888888888889,0.19248393142535405,30
shock_magnitude,2,-0.5,0.3,2.1904398187889567,1.0570738464088965,2.2676455349148004,1.044191386938405,0.11856248921730626,0.07757559602369116,0.2,0.5508613944197479,0.9537777777777777,0.13821171314350986,30
shock_magnitude,2,-0.5,0.4,2.3743561604116414,1.07330912514765,2.612485242395643,1.592650855852649,0.1254878593641091,0.08662877191683406,1.4,3.4601175981609997,0.974,0.10204949591672777,30
shock_magnitude,2,-0.5,0.5,2.6295039570910967,1.170828512446137,2.6802024937059654,1.5415654488580561,0.13083647814406021,0.06839771556615659,0.06666666666666667,0.3651483716701107,0.9236666666666667,0.222798897346921,30
shock_magnitude,2,-0.5,0.6,2.283695769993882,0.915139182558552,2.2513870461116503,1.246430240975745,0.1809050482679808,0.08565310758732263,0.9666666666666667,2.6193357059051987,0.9886666666666667,0.05493011931229384,30
shock_magnitude,2,-0.5,0.7,2.9141456996173054,1.9530197279910162,3.1096098529237413,2.042036031930674,0.1581674000076818,0.11099227919420758,0.4,1.0372377109252813,0.9450000000000001,0.14697394665779576,30
shock_magnitude,2,-0.5,0.8,2.8274439592765157,1.927845407291918,3.032387522920996,3.097573752125799,0.19014511624259917,0.1800696581258968,10.4,54.712792427113556,0.9252222222222223,0.23051281051382674,30
shock_magnitude,2,-0.5,0.9,2.63230173724391,1.439345834171067,2.5642314144866365,1.5803292321390232,0.19985740437206906,0.12744727538901404,0.06666666666666667,0.2537081317024624,0.958,0.14532194408605398,30
shock_magnitude,2,-0.5,1.0,3.1857044047902394,1.8763955575205111,3.2011242064448937,1.999225157467814,0.1826565136473031,0.12375772553791,1.1666666666666667,4.1196194445380625,0.9149999999999999,0.1872624932529479,30
