experiment,hft_frac,info_lag,liquidity_setting,metric,interaction_point,interaction_boot_mean,ci_low,ci_high,p_two_sided,ci_excludes_zero,positive_point,p_holm,p_bh,significant_holm_5pct,significant_bh_5pct,metric_family,supports_original_h3,contradicts_original_h3
book_depth,0.2,3,book_volume=600,acf_abs_ret_5,-0.0104336636584001,-0.0119953506225987,-0.0912220097749399,0.0643471318071001,0.758,False,False,1.0,0.9762765957446808,False,False,core_clustering,False,False
book_depth,0.2,3,book_volume=600,high_vol_cluster_share,-0.1643255295429206,-0.1632810479375696,-0.3267725752508361,-0.006231884057971,0.048,True,False,1.0,0.72,False,False,context,False,False
book_depth,0.2,3,book_volume=600,vol_persistence,0.0101941464972081,0.0101039700008562,0.0007025032496304,0.0192922518518196,0.036,True,True,1.0,0.72,False,False,core_clustering,False,False
book_depth,0.2,3,book_volume=600,vol_ratio,-0.8154145166395539,-0.8196064914370927,-1.978050447156659,0.219052951779444,0.116,False,False,1.0,0.7785365853658536,False,False,context,False,False
book_depth,0.2,5,book_volume=1000,acf_abs_ret_1,-0.0192030788226593,-0.0188914974117113,-0.0996961626456241,0.0599495159543376,0.616,False,False,1.0,0.9548201438848921,False,False,core_clustering,False,False
book_depth,0.2,5,book_volume=1000,acf_abs_ret_5,0.0293496327492338,0.030402451551219,-0.0369815079153461,0.10264981001444,0.36,False,True,1.0,0.9181395348837209,False,False,core_clustering,False,False
book_depth,0.2,5,book_volume=1000,high_vol_cluster_share,0.0201783723522854,0.0264063545150501,-0.161474358974359,0.2102898550724637,0.752,False,True,1.0,0.9762765957446808,False,False,context,False,False
book_depth,0.2,5,book_volume=1000,vol_persistence,-0.0013555793753426,-0.0014115817658909,-0.0106153178947807,0.007654152719326,0.782,False,False,1.0,0.9762765957446808,False,False,core_clustering,False,False
book_depth,0.2,5,book_volume=1000,vol_ratio,-0.5505107721772116,-0.5643155759434776,-1.4711190187116912,0.4187905692046758,0.248,False,False,1.0,0.8823529411764706,False,False,context,False,False
book_depth,0.2,5,book_volume=300,acf_abs_ret_1,0.0087013577031961,0.0087031440757669,-0.0750461990322226,0.0958573345977246,0.846,False,True,1.0,0.9762765957446808,False,False,core_clustering,False,False
